asin,price,sales_rank,brand,cat_lvl2,cat_leaf,popularity,rating_mean,last_train_time,price_pct,quality_pct,popularity_pct,rating_pct,recency_pct
0912696591,14.26,9690.0,Wilton,Kitchen & Dining,Baking & Cookie Sheets,3.0,4.333333333333333,1376611200.0,0.642907770000886,0.6198281208469921,0.7946309914060423,0.14197749623460618,0.6673163816780366
1891747401,7.86,1315.0,Mighty Bright LED Light Deluxe Gift Set,Kitchen & Dining,Cookbook Stands,2.0,4.5,1275177600.0,0.8597058562948525,0.9083901833968282,0.66310800035439,0.1886240808009214,0.1874723132807655
7802215811,17.95,62916.0,Tupperware Deli Keeper,Kitchen & Dining,Food Savers,1.0,5.0,1368489600.0,0.5507220696376363,0.2154691237707097,0.33932843093824755,0.6724550367679631,0.5861167715070436
B00000JGRP,29.95,14534.0,Cuisinart,Kitchen & Dining,Food Processors,6.0,4.666666666666667,1363824000.0,0.3583325950208204,0.5314964118011872,0.9267298662177726,0.2566226632408966,0.5282183042438203
B00000JGRQ,69.0,18822.0,Cuisinart,Kitchen & Dining,Countertop Blenders,1.0,4.0,1226966400.0,0.16975281297067424,0.4688579782050146,0.33932843093824755,0.06374590236555329,0.13967396119429432
B00000JGRT,62.99,6359.0,Cuisinart,Kitchen & Dining,Ice Cream Machines,20.0,4.85,1319673600.0,0.18184637193231146,0.7018694072827146,0.9944626561530965,0.3304243820324267,0.26641268716222205
B00002N5FO,2.49,14519.0,TIME-ALL,Kitchen & Dining,Timers,1.0,5.0,1360022400.0,0.9917161336050323,0.5318951005581642,0.33932843093824755,0.6724550367679631,0.49202622486045894
B00002N5Z9,79.1,14809.0,Lasko,"Heating, Cooling & Air Quality",Household Fans,1.0,5.0,1373241600.0,0.1484008150970143,0.5265349517143616,0.33932843093824755,0.6724550367679631,0.630681314786923
B00002N5ZB,32.17,725.0,Lasko,"Heating, Cooling & Air Quality",Household Fans,4.0,5.0,1365897600.0,0.3290511207583946,0.9467529015681758,0.8615221050766368,0.6724550367679631,0.5553734384690352
B00002N602,51.79,2938.0,Presto,Kitchen & Dining,Pressure Cookers,9.0,4.777777777777778,1391299200.0,0.21538052626915916,0.8264817932134314,0.965446974395322,0.30628156285992736,0.8681669176929211
B00002N6SQ,53.18,21981.0,Rubbermaid,Storage & Organization,Trash Cans,2.0,5.0,1377648000.0,0.21139363869938865,0.4330645875786303,0.66310800035439,0.6724550367679631,0.6799415256489767
B00002N8CX,69.99,160.0,Eureka,Vacuums & Floor Care,Canister Vacuums,4.0,4.25,1384819200.0,0.163506689111367,0.9862230885089041,0.8615221050766368,0.13214317356250554,0.7659254009036945
B00002NC6E,4.98,31699.0,Hoover,Vacuums & Floor Care,Upright Bags,1.0,5.0,1300665600.0,0.9542836891999645,0.3578453087622929,0.33932843093824755,0.6724550367679631,0.2253034464428103
B00002NC6F,3.78,941.0,Hoover,Vacuums & Floor Care,Belts,1.0,5.0,1356652800.0,0.9806414459112253,0.9331531850801807,0.33932843093824755,0.6724550367679631,0.4505625941348454
B00002ND67,29.97,9919.0,Lasko,"Heating, Cooling & Air Quality",Table Fans,3.0,4.666666666666667,1373068800.0,0.35496588996190304,0.6150438557632675,0.7946309914060423,0.2566226632408966,0.62913085850979
B00004OCIQ,8.8,996.0,OXO,Kitchen & Dining,Corers,10.0,4.9,1378771200.0,0.8263045982103305,0.929697882519713,0.9718702932577301,0.3408345884646053,0.6926995658722424
B00004OCIR,7.99,1702.0,OXO,Kitchen & Dining,Graters,2.0,5.0,1373328000.0,0.8481438823425179,0.8877026667847967,0.66310800035439,0.6724550367679631,0.631655887303978
B00004OCIS,7.99,28403.0,OXO,Kitchen & Dining,Bottle Openers,1.0,5.0,1312416000.0,0.8481438823425179,0.3797288916452556,0.33932843093824755,0.6724550367679631,0.2488703818552317
B00004OCIU,9.83,4516.0,OXO,Kitchen & Dining,Peelers,2.0,5.0,1381363200.0,0.7933020288827854,0.7602994595552406,0.66310800035439,0.6724550367679631,0.7232657039071498
B00004OCIV,9.96,19742.0,OXO,Kitchen & Dining,Ladles,1.0,4.0,1059955200.0,0.7831576149552583,0.4583148755205103,0.33932843093824755,0.06374590236555329,0.10884203065473554
