diagnostic_status,lambda_q,lambda_t,profile,metric,mean,sample_sd,ci95_lo,ci95_hi,n_catalog_resamples,bootstrap_reps,bootstrap_seed
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,budget,f1_at_7,0.22,0.11973175627651124,0.18571428571428572,0.25142857142857145,50,20000,6411029347996588028
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,budget,ndcg_at_7,0.262480612753054,0.153784065378847,0.21983455343386626,0.30463421189856893,50,20000,12828567801924331368
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,quality_seeker,f1_at_7,0.039999999999999994,0.07093121304890924,0.022857142857142857,0.05999999999999999,50,20000,2708535359075470918
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,quality_seeker,ndcg_at_7,0.030087062424268195,0.05388049367865039,0.01615033939019956,0.04578008507739436,50,20000,17920479371160143813
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,explorer,f1_at_7,0.37714285714285706,0.14648455873409275,0.3371428571428571,0.4171428571428571,50,20000,7629949971029688914
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,explorer,ndcg_at_7,0.3820191842003326,0.16289880437349066,0.3373188158607137,0.4260645592130329,50,20000,15085480944746837491
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,loyal,f1_at_7,0.20857142857142855,0.1125598549643892,0.17714285714285716,0.23999999999999996,50,20000,3727390973986890096
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,loyal,ndcg_at_7,0.19111129088363185,0.11976318035478381,0.15920142310666943,0.22500665036449352,50,20000,15181955651813511227
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,balanced,f1_at_7,0.6057142857142856,0.13708453570405443,0.5685714285714285,0.6428571428571428,50,20000,15261782408874780614
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,balanced,ndcg_at_7,0.6521092189056611,0.13757505021095465,0.6141421759148662,0.6896426979209772,50,20000,17193306527719418476
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,all_profiles_mean_within_run,f1_at_7,0.29028571428571426,0.061728537389092446,0.2731428571428571,0.3068571428571429,50,20000,12537916301164642149
evaluation_only_posthoc_oracle_not_for_tuning,0.1,0.9,all_profiles_mean_within_run,ndcg_at_7,0.30356147383338955,0.06758220918742262,0.2848336678706785,0.3222636083235797,50,20000,5456233912591688297
evaluation_only_posthoc_oracle_not_for_tuning,0.2,0.8,budget,f1_at_7,0.2571428571428572,0.13537244042266938,0.21999999999999997,0.29428571428571426,50,20000,5248907986253425165
evaluation_only_posthoc_oracle_not_for_tuning,0.2,0.8,budget,ndcg_at_7,0.29561124458016,0.15404729838956704,0.2540249617599385,0.337836028966764,50,20000,2088974055381895047
evaluation_only_posthoc_oracle_not_for_tuning,0.2,0.8,quality_seeker,f1_at_7,0.10285714285714287,0.11192905470042522,0.07428571428571427,0.13428571428571429,50,20000,180843542516615639
evaluation_only_posthoc_oracle_not_for_tuning,0.2,0.8,quality_seeker,ndcg_at_7,0.10473327924158704,0.12127831496185086,0.07316581192106521,0.1386924268279273,50,20000,865075691819326925
evaluation_only_posthoc_oracle_not_for_tuning,0.2,0.8,explorer,f1_at_7,0.3971428571428571,0.14798381216557796,0.357142857142857,0.43714285714285706,50,20000,9896051156541369057
evaluation_only_posthoc_oracle_not_for_tuning,0.2,0.8,explorer,ndcg_at_7,0.4198546184283398,0.17615712299341132,0.3713657334508256,0.4682215704705018,50,20000,13320592961611425523
evaluation_only_posthoc_oracle_not_for_tuning,0.2,0.8,loyal,f1_at_7,0.2428571428571428,0.1232963874856589,0.20857142857142855,0.27714285714285714,50,20000,1378132692237830719
evaluation_only_posthoc_oracle_not_for_tuning,0.2,0.8,loyal,ndcg_at_7,0.26112983122773664,0.1469566190294459,0.22110447494771607,0.3014890827420421,50,20000,3481102216042211314
evaluation_only_posthoc_oracle_not_for_tuning,0.2,0.8,balanced,f1_at_7,0.6028571428571429,0.1300049657847591,0.5657142857142857,0.64,50,20000,15558207867130184651
evaluation_only_posthoc_oracle_not_for_tuning,0.2,0.8,balanced,ndcg_at_7,0.6597644456082581,0.13191205739992368,0.623042935834682,0.6955880196309931,50,20000,589221547170875642
