metric,arm_id,candidate,gt_bonus,reward_model,role,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalogs
f1_at_7,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,full_catalog,0.0,component_continuous_fix,mandatory_factorial,hybrid,0.3308571428571428,0.07165329082322447,0.31142857142857144,0.35085714285714276,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,full_catalog,0.0,component_continuous_fix,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.1337142857142857,0.17257142857142857,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,full_catalog,0.0,component_continuous_fix,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,full_catalog,0.0,component_continuous_fix,mandatory_factorial,rl_only,0.12914285714285714,0.049061156575728064,0.11599999999999999,0.1422857142857143,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,full_catalog,0.0,component_continuous_fix,mandatory_factorial,topsis_only,0.2594285714285714,0.06292601580604658,0.24228571428571422,0.276,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,full_catalog,0.0,component_continuous_fix,mandatory_factorial,hybrid,0.3468221477835561,0.08204463754240902,0.3245583364387443,0.3695922645960574,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,full_catalog,0.0,component_continuous_fix,mandatory_factorial,popularity,0.1836410948944744,0.08847616427656166,0.1594078988836717,0.20806725700601975,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,full_catalog,0.0,component_continuous_fix,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012487600494256384,0.0348255245399891,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,full_catalog,0.0,component_continuous_fix,mandatory_factorial,rl_only,0.15842958939170887,0.0622848156840121,0.14154574180084012,0.1758654313196313,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,full_catalog,0.0,component_continuous_fix,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.25399181541475996,0.2938206525187032,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=historical_funnel_coefficients_on_may_h,full_catalog,0.0,historical_funnel_coefficients_on_may_h,secondary_reward_specification_sensitivity,hybrid,0.36857142857142855,0.06329821395620744,0.3508571428571428,0.3862857142857142,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=historical_funnel_coefficients_on_may_h,full_catalog,0.0,historical_funnel_coefficients_on_may_h,secondary_reward_specification_sensitivity,popularity,0.15314285714285714,0.07134338944143963,0.13371428571428573,0.17257142857142857,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=historical_funnel_coefficients_on_may_h,full_catalog,0.0,historical_funnel_coefficients_on_may_h,secondary_reward_specification_sensitivity,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50
