anchor,row_type,profile,metric,checkpoint,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalog_resamples,bootstrap_reps,bootstrap_seed
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,500,hybrid,0.22057142857142856,0.07210524955746475,0.2011428571428571,0.24057142857142857,50,20000,8774001420462990203
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,500,rl_only,0.05371428571428571,0.03446019741911091,0.04457142857142857,0.06342857142857143,50,20000,16060234134917430918
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,500,topsis_only,0.2594285714285714,0.06292601580604658,0.24227142857142853,0.2765714285714285,50,20000,5787857774406734672
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,500,popularity,0.15314285714285714,0.07134338944143963,0.13371428571428573,0.1731428571428571,50,20000,15431459668591358964
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,500,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50,20000,3534668037715710726
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,1000,hybrid,0.23999999999999996,0.06950769945276082,0.22057142857142856,0.25885714285714284,50,20000,2092599137659475270
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,1000,rl_only,0.06685714285714286,0.0438124814145101,0.054857142857142854,0.07942857142857142,50,20000,11766601833422046610
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,1000,topsis_only,0.2594285714285714,0.06292601580604658,0.24228571428571427,0.2765714285714285,50,20000,17017279055839799243
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,1000,popularity,0.15314285714285714,0.07134338944143963,0.13371428571428573,0.17257142857142851,50,20000,14099170244337015072
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,1000,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50,20000,2611951787509178516
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,2000,hybrid,0.2502857142857142,0.06468067849645814,0.23257142857142857,0.268,50,20000,6414986913592041773
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,2000,rl_only,0.06914285714285713,0.042843535254686135,0.05771428571428571,0.08114285714285714,50,20000,3573447849176973323
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,2000,topsis_only,0.2594285714285714,0.06292601580604658,0.24171428571428571,0.2765714285714286,50,20000,4518073470190859460
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,2000,popularity,0.15314285714285714,0.07134338944143963,0.13371428571428573,0.1731428571428571,50,20000,811291728536975371
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,2000,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50,20000,8146404757811605981
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,5000,hybrid,0.27999999999999997,0.06296836171649596,0.2628428571428571,0.29714285714285715,50,20000,670382800945545657
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,5000,rl_only,0.09314285714285714,0.04501284003959116,0.08114285714285714,0.1057142857142857,50,20000,6044041878784936989
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,5000,topsis_only,0.2594285714285714,0.06292601580604658,0.24171428571428571,0.2765714285714285,50,20000,2170448663456698802
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,5000,popularity,0.15314285714285714,0.07134338944143963,0.1337142857142857,0.1731428571428571,50,20000,16251261147923766708
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,5000,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50,20000,14552993415875848466
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,10000,hybrid,0.29771428571428565,0.05973424415719376,0.2811428571428572,0.3142857142857143,50,20000,16405009033428711376
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,10000,rl_only,0.09999999999999998,0.04517539514526256,0.08742857142857144,0.11257142857142856,50,20000,2118008877641011604
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,10000,topsis_only,0.2594285714285714,0.06292601580604658,0.24171428571428574,0.2765714285714285,50,20000,1837728722588732175
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,10000,popularity,0.15314285714285714,0.07134338944143963,0.13371428571428573,0.17257142857142851,50,20000,1396867205070673823
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,10000,random,0.02,0.030132291959660003,0.012571428571428572,0.029142857142857137,50,20000,8778705214842688022
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,20000,hybrid,0.31085714285714283,0.06647925900898721,0.2925714285714286,0.3297142857142857,50,20000,10203021584741067887
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,20000,rl_only,0.12057142857142857,0.05074702265359923,0.10685714285714284,0.13485714285714284,50,20000,12096080122845077697
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,20000,topsis_only,0.2594285714285714,0.06292601580604658,0.24171428571428571,0.2765714285714285,50,20000,6853619475270052296
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,20000,popularity,0.15314285714285714,0.07134338944143963,0.1337142857142857,0.1731428571428571,50,20000,4483455936671732941
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,20000,random,0.02,0.030132291959660003,0.012571428571428572,0.029142857142857137,50,20000,5007030404988879806
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,30000,hybrid,0.3308571428571428,0.07165329082322447,0.31142857142857144,0.35085714285714276,50,20000,12288895809148488729
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,30000,rl_only,0.12914285714285714,0.049061156575728064,0.11598571428571428,0.14285714285714282,50,20000,14835935167607771779
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,30000,topsis_only,0.2594285714285714,0.06292601580604658,0.24228571428571424,0.2765714285714285,50,20000,8510191063091570412
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,30000,popularity,0.15314285714285714,0.07134338944143963,0.13371428571428573,0.17257142857142857,50,20000,10051435870301041107
primary_corrected,checkpoint_overall,all_profiles_mean_within_run,f1_at_7,30000,random,0.02,0.030132291959660003,0.012571428571428572,0.029142857142857137,50,20000,9604559564983791322
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,500,hybrid,0.22,0.15863327136986755,0.17714285714285713,0.26285714285714284,50,20000,753862803738710712
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,500,rl_only,0.10285714285714287,0.12258495851168333,0.07142857142857141,0.13714285714285712,50,20000,15454950398582455797
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,1000,hybrid,0.23714285714285713,0.1402383881029345,0.19714285714285715,0.2742857142857143,50,20000,10551164204197495174
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,1000,rl_only,0.12285714285714285,0.12248298847447883,0.08857142857142858,0.15714285714285714,50,20000,5136141018983413159
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,2000,hybrid,0.24857142857142855,0.15757956810200785,0.20571428571428568,0.2914285714285714,50,20000,7418687481217933567
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,2000,rl_only,0.14285714285714282,0.13226001425322162,0.10857142857142855,0.17999999999999997,50,20000,8177905875231510216
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,5000,hybrid,0.2828571428571428,0.161959060236951,0.23714285714285716,0.32857142857142846,50,20000,1488966114508190986
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,5000,rl_only,0.18,0.13784199829198596,0.14285714285714285,0.21714285714285717,50,20000,6264159754130057160
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,10000,hybrid,0.29714285714285715,0.14671184290295042,0.2571428571428571,0.3371428571428571,50,20000,9985109957581722283
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,10000,rl_only,0.18857142857142858,0.15118578920369088,0.14857142857142855,0.23142857142857143,50,20000,9609457072958767699
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,20000,hybrid,0.31142857142857144,0.14628539540781568,0.2714285714285714,0.35142857142857137,50,20000,7339019478492291628
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,20000,rl_only,0.21714285714285708,0.14209710355534047,0.17999999999999997,0.2571428571428571,50,20000,9027705367607103102
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,30000,hybrid,0.32285714285714284,0.1347866100078234,0.2857142857142857,0.35999999999999993,50,20000,8218011704786809628
primary_corrected,checkpoint_profile_descriptive,budget,f1_at_7,30000,rl_only,0.21428571428571425,0.15066145979829998,0.17428571428571424,0.2571428571428571,50,20000,7274205316765944789
primary_corrected,final_profile_descriptive,budget,f1_at_7,30000,hybrid,0.32285714285714284,0.1347866100078234,0.2857142857142857,0.35999999999999993,50,20000,6466454176244437592
primary_corrected,final_profile_descriptive,budget,f1_at_7,30000,rl_only,0.21428571428571425,0.15066145979829998,0.17428571428571424,0.2542857142857143,50,20000,5624468814437968470
primary_corrected,final_profile_descriptive,budget,f1_at_7,30000,topsis_only,0.19428571428571428,0.12162991367960276,0.16,0.22857142857142854,50,20000,9497006242938407370
primary_corrected,final_profile_descriptive,budget,f1_at_7,30000,popularity,0.06857142857142856,0.09235680407334497,0.04564285714285719,0.09428571428571429,50,20000,1967646969924164631
primary_corrected,final_profile_descriptive,budget,f1_at_7,30000,random,0.031428571428571424,0.0663814529277167,0.014285714285714284,0.05142857142857142,50,20000,9134703397483624198
primary_corrected,final_profile_descriptive,budget,ndcg_at_7,30000,hybrid,0.3536171263081412,0.1754119914553345,0.3058207723873969,0.40272589729151165,50,20000,8781644297903741785
primary_corrected,final_profile_descriptive,budget,ndcg_at_7,30000,rl_only,0.2572195996782607,0.18667999896451842,0.20679991771190329,0.3087529601482304,50,20000,1562328363464667430
primary_corrected,final_profile_descriptive,budget,ndcg_at_7,30000,topsis_only,0.24331992111046324,0.160396682714079,0.19944612838119374,0.2870451299088026,50,20000,6007882384353068418
primary_corrected,final_profile_descriptive,budget,ndcg_at_7,30000,popularity,0.0897601428642658,0.12506773927412485,0.05705830667179652,0.12537024614713704,50,20000,1586628146368112234
primary_corrected,final_profile_descriptive,budget,ndcg_at_7,30000,random,0.0367160896978451,0.08182559259453998,0.016372116999811462,0.06066499119723424,50,20000,7517509456856841927
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,500,hybrid,0.04285714285714286,0.07215375318230077,0.022857142857142857,0.06285714285714286,50,20000,18234994390493058684
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,500,rl_only,0.0457142857142857,0.07324227936704637,0.02571428571428571,0.06571428571428571,50,20000,5899134506906099095
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,1000,hybrid,0.1,0.10101525445522107,0.07428571428571427,0.12857142857142856,50,20000,142103854790582901
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,1000,rl_only,0.06285714285714286,0.08735075330217426,0.039999999999999994,0.08857142857142856,50,20000,18345480654158839699
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,2000,hybrid,0.11714285714285713,0.1143221516258034,0.08571428571428572,0.14857142857142858,50,20000,14364518695172110188
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,2000,rl_only,0.045714285714285714,0.06731601021416589,0.028571428571428567,0.0657142857142857,50,20000,13374507097278959185
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,5000,hybrid,0.16571428571428565,0.12366740740851524,0.13142857142857142,0.19999999999999996,50,20000,16558116840382052496
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,5000,rl_only,0.06285714285714286,0.09641642294708339,0.03714285714285714,0.09142857142857143,50,20000,1027710255490102130
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,10000,hybrid,0.1914285714285714,0.10647508131220883,0.16285714285714284,0.22,50,20000,16825594321359632861
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,10000,rl_only,0.07142857142857142,0.08777882925553701,0.04857142857142857,0.09714285714285714,50,20000,1384640111119106524
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,20000,hybrid,0.20857142857142855,0.13601700165674804,0.17428571428571424,0.24857142857142855,50,20000,18123291153687257669
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,20000,rl_only,0.08571428571428572,0.0957227706086414,0.05999999999999999,0.11142857142857145,50,20000,8848958575154318858
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,30000,hybrid,0.2428571428571428,0.15340098345278477,0.2,0.2857142857142857,50,20000,8055855280442104615
primary_corrected,checkpoint_profile_descriptive,quality_seeker,f1_at_7,30000,rl_only,0.08571428571428573,0.10798984943120778,0.057142857142857134,0.11714285714285713,50,20000,7500504120360572132
primary_corrected,final_profile_descriptive,quality_seeker,f1_at_7,30000,hybrid,0.2428571428571428,0.15340098345278477,0.2,0.2857142857142857,50,20000,3866761408825574098
primary_corrected,final_profile_descriptive,quality_seeker,f1_at_7,30000,rl_only,0.08571428571428573,0.10798984943120778,0.057142857142857134,0.11714285714285713,50,20000,1309682512510482868
primary_corrected,final_profile_descriptive,quality_seeker,f1_at_7,30000,topsis_only,0.011428571428571429,0.0391496450882671,0.002857142857142857,0.022857142857142857,50,20000,13549047240017235910
primary_corrected,final_profile_descriptive,quality_seeker,f1_at_7,30000,popularity,0.19428571428571428,0.13150207096805724,0.15999999999999998,0.2314285714285714,50,20000,4619702963100779574
primary_corrected,final_profile_descriptive,quality_seeker,f1_at_7,30000,random,0.02,0.05007283325055223,0.00857142857142857,0.03428571428571428,50,20000,10300955770044201883
primary_corrected,final_profile_descriptive,quality_seeker,ndcg_at_7,30000,hybrid,0.25791237461379285,0.17117489261593097,0.2119510009662772,0.3052081607227706,50,20000,5798603177898540018
primary_corrected,final_profile_descriptive,quality_seeker,ndcg_at_7,30000,rl_only,0.10896885035700514,0.14329309469103443,0.07076951111695648,0.15067734756290854,50,20000,14512516374624703381
primary_corrected,final_profile_descriptive,quality_seeker,ndcg_at_7,30000,topsis_only,0.007707284407093341,0.026413483434165275,0.0018325088860952723,0.015540318435090765,50,20000,16700546089271224042
primary_corrected,final_profile_descriptive,quality_seeker,ndcg_at_7,30000,popularity,0.15594536614642054,0.10734341161646346,0.12711397712993208,0.18587760226231265,50,20000,14954278128590885990
primary_corrected,final_profile_descriptive,quality_seeker,ndcg_at_7,30000,random,0.01819548063272524,0.051084420701082836,0.006032673631297803,0.033646056543630974,50,20000,1910164693195602668
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,500,hybrid,0.28857142857142853,0.17434353578917178,0.24,0.337142857142857,50,20000,4742210253079028509
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,500,rl_only,0.04285714285714286,0.07771197046799906,0.022857142857142857,0.06571428571428571,50,20000,16076368523201956876
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,1000,hybrid,0.30857142857142855,0.1563856658013716,0.2657142857142857,0.35142857142857137,50,20000,8294564244421395616
primary_corrected,checkpoint_profile_descriptive,explorer,f1_at_7,1000,rl_only,0.045714285714285714,0.07324227936704636,0.02571428571428571,0.06571428571428571,50,20000,17600312482534435242
