anchor,metric,row_type,name,arm_id,mean,sample_sd,ci95_lo,ci95_hi,n_catalogs,wins,ties,losses,paired_t_stat,paired_t_p_two_sided,wilcoxon_stat,wilcoxon_p_two_sided,cohen_dz,cohen_dz_defined
primary_corrected,f1_at_7,method,hybrid,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,0.3308571428571428,0.07165329082322447,0.31142857142857144,0.35085714285714276,50,,,,,,,,,
primary_corrected,f1_at_7,method,rl_only,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,0.12914285714285714,0.049061156575728064,0.11599999999999999,0.1422857142857143,50,,,,,,,,,
primary_corrected,f1_at_7,method,topsis_only,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,0.2594285714285714,0.06292601580604658,0.24228571428571422,0.276,50,,,,,,,,,
primary_corrected,f1_at_7,paired_difference,hybrid_minus_rl,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,0.20171428571428568,0.07126161245307844,0.18171428571428566,0.22114285714285714,50,50,0,0,20.01548019765731,3.1170701973569944e-25,0.0,7.394479203528819e-10,2.830616355293709,True
primary_corrected,f1_at_7,paired_difference,hybrid_minus_topsis,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,0.07142857142857141,0.09834109227066741,0.044571428571428574,0.0982857142857143,50,34,4,12,5.135963620232805,4.844973503446778e-06,159.5,1.8471223413857635e-05,0.7263349407588052,True
primary_corrected,ndcg_at_7,method,hybrid,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,0.3468221477835561,0.08204463754240902,0.3245583364387443,0.3695922645960574,50,,,,,,,,,
primary_corrected,ndcg_at_7,method,rl_only,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,0.15842958939170887,0.0622848156840121,0.14154574180084012,0.1758654313196313,50,,,,,,,,,
primary_corrected,ndcg_at_7,method,topsis_only,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,0.27385693831131375,0.07150961571664347,0.25399181541475996,0.2938206525187032,50,,,,,,,,,
primary_corrected,ndcg_at_7,paired_difference,hybrid_minus_rl,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,0.18839255839184715,0.06268534768924648,0.17136815973058528,0.20588332198785514,50,50,0,0,21.251163226268616,2.2289457027105646e-26,0.0,7.555220876380673e-10,3.005368325079346,True
primary_corrected,ndcg_at_7,paired_difference,hybrid_minus_topsis,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,0.07296520947224232,0.11009731903171667,0.04302050541345179,0.10330112374102521,50,35,0,15,4.686235310930349,2.248195356120914e-05,230.0,4.011462634423424e-05,0.6627337533189397,True
historical_funnel_sensitivity,f1_at_7,method,hybrid,candidate=full_catalog__bonus=0.00__reward=historical_funnel_coefficients_on_may_h,0.36857142857142855,0.06329821395620744,0.3508571428571428,0.3862857142857142,50,,,,,,,,,
historical_funnel_sensitivity,f1_at_7,method,rl_only,candidate=full_catalog__bonus=0.00__reward=historical_funnel_coefficients_on_may_h,0.13542857142857143,0.05679485871693304,0.11999999999999997,0.15085714285714286,50,,,,,,,,,
historical_funnel_sensitivity,f1_at_7,method,topsis_only,candidate=full_catalog__bonus=0.00__reward=historical_funnel_coefficients_on_may_h,0.2594285714285714,0.06292601580604658,0.24171428571428574,0.2765714285714285,50,,,,,,,,,
